GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-tests,com.cnu2016.assignment02,SmartHome,104,8,0,0,14,2,1,1,1,1
junit-tests,com.cnu2016.assignment02,WaterHeater,0,3,0,0,0,2,0,1,0,1
junit-tests,com.cnu2016.assignment02,Appliance,0,20,0,0,0,6,0,2,0,2
junit-tests,com.cnu2016.assignment02,MyTimerTask,0,26,0,2,0,8,0,3,0,2
junit-tests,com.cnu2016.assignment02,AirConditioner,0,3,0,0,0,2,0,1,0,1
junit-tests,com.cnu2016.assignment02,CookingOven,0,3,0,0,0,2,0,1,0,1
